Topics,Topic_Label,Count
1,happiness,68
0,relationship,62
3,forgive,58
2,treatment,55
4,money,52
5,gambling,40
6,process,38
7,meaning,35
8,death,31
9,faith,28
10,tell,22
11,community,21
14,violence,19
13,time,18
16,family,16
12,addiction,15
18,mistake,13
23,contact,13
22,witness,13
15,war,12
17,honesty,12
30,purpose,12
20,justice,11
21,self,10
19,use,10
26,lack,10
24,indulge,10
37,confess,9
25,embryos,8
28,background,8
27,parents,8
36,good,8
31,rights,8
33,trust,7
42,privacy,7
41,online,7
32,redemption,7
40,medical,6
34,forgiveness,6
29,uploaded,6
38,guilty,6
39,thing,6
35,mental,5
43,parenting,5
44,sex,5
